Activity_ID,Section,Type,Description,Duration_WD,Planned_Start,Planned_Finish,Total_Float_WD,Free_Float_WD,Critical,Calendar,Resource_Loaded,Broken_Tooth_BOQ,Notes
A010,A — Pre-Construction,Milestone,Contract Award,0,05-Aug-19,05-Aug-19,0,0,Yes,5-day,No,,Programme start point
DM55,DM — De-Mining,Normal,UXO / De-Mining Site Clearance Certificate,70,05-Aug-19,12-Nov-19,18,18,No,5-day,Yes,S01001,Specialist sub-contractor; 18 days free float
A020,A — Pre-Construction,Normal,Obtain Environmental and Construction Permits,30,05-Aug-19,13-Sep-19,10,10,No,5-day,No,,Client to facilitate
A030,A — Pre-Construction,Normal,Appoint EPCM and Design Team,15,05-Aug-19,23-Aug-19,5,5,No,5-day,No,,
A040,A — Pre-Construction,Normal,Issue for Construction Drawings — Civil,21,26-Aug-19,23-Sep-19,5,5,No,5-day,No,,Design deliverable
A050,A — Pre-Construction,Normal,Issue for Construction Drawings — Structural,21,26-Aug-19,23-Sep-19,8,8,No,5-day,No,,
A060,A — Pre-Construction,Normal,Issue for Construction Drawings — Piping,28,26-Aug-19,03-Oct-19,3,3,No,5-day,No,,
A070,A — Pre-Construction,Normal,Issue for Construction Drawings — Electrical,28,26-Aug-19,03-Oct-19,3,3,No,5-day,No,,
A080,A — Pre-Construction,Normal,Long-Lead Procurement — Wellhead Valves,60,05-Aug-19,25-Oct-19,0,0,Yes,5-day,No,,USD procurement — exchange rate risk
A090,A — Pre-Construction,Normal,Long-Lead Procurement — Instruments,45,05-Aug-19,05-Oct-19,5,5,No,5-day,No,,
A100,A — Pre-Construction,Normal,Long-Lead Procurement — Structural Steel,28,05-Aug-19,11-Sep-19,8,8,No,5-day,No,,Off-site fabrication lead time
A110,A — Pre-Construction,Normal,Temporary Site Access Road,10,13-Nov-19,26-Nov-19,0,0,Yes,5-day,Yes,Z01001,Follows DM55 completion
A400,A — Mobilisation,Normal,Establish Contractor Plant and Facilities,14,13-Nov-19,28-Nov-19,0,0,Yes,5-day,Yes,Z01001,CRITICAL — 4 days behind per Speaking Progress
A410,A — Mobilisation,Normal,Erect Site Offices and Ablutions,7,13-Nov-19,21-Nov-19,5,5,No,5-day,Yes,Z01010,
A420,A — Mobilisation,Normal,Install Temporary Power and Water,5,22-Nov-19,28-Nov-19,3,3,No,5-day,Yes,Z01014,
A430,A — Mobilisation,Normal,Safety Induction — All Workers,2,29-Nov-19,02-Dec-19,0,0,Yes,5-day,No,Z03004,All workers before site entry
A440,A — Mobilisation,Normal,Survey and Peg Out Works Area,3,29-Nov-19,03-Dec-19,2,2,No,5-day,No,S01003,Survey sub
A450,A — Mobilisation,Milestone,Mobilisation Complete,0,03-Dec-19,03-Dec-19,0,0,Yes,5-day,No,,
B010,B — Earthworks,Normal,Clear and Grub — Full Site,5,04-Dec-19,10-Dec-19,0,0,Yes,5-day,Yes,,
B020,B — Earthworks,Normal,Strip Topsoil and Stockpile,8,11-Dec-19,20-Dec-19,0,0,Yes,5-day,Yes,,FESTIVE SHUTDOWN follows
B030,B — Earthworks,Normal,Bulk Earthworks — Cut to Fill,21,06-Jan-20,03-Feb-20,0,0,Yes,5-day,Yes,M09001,Post-festive start
B040,B — Earthworks,Normal,Bulk Earthworks — Cut to Spoil,14,06-Jan-20,23-Jan-20,2,2,No,5-day,Yes,,
B050,B — Earthworks,Normal,Compaction of Fill Layers,14,10-Jan-20,28-Jan-20,1,0,No,5-day,Yes,P04002,SS+5 days after B030
B060,B — Earthworks,Normal,Formation Level and Trimming,7,04-Feb-20,12-Feb-20,0,0,Yes,5-day,Yes,P03002,Follows bulk cut completion
B070,B — Earthworks,Normal,Sub-Base Preparation G5 Gravel,10,13-Feb-20,26-Feb-20,0,0,Yes,5-day,Yes,M09002,
B080,B — Earthworks,Normal,Pipe Trench Excavation (Main),14,06-Jan-20,23-Jan-20,5,3,No,5-day,Yes,P01001,Runs parallel to bulk works
B090,B — Earthworks,Normal,Cable Trench Excavation,10,06-Jan-20,17-Jan-20,8,8,No,5-day,Yes,P01003,
B100,B — Earthworks,Normal,Trench Backfill — Pipe,7,15-Apr-20,23-Apr-20,2,2,No,5-day,Yes,,Follows pipe installation and testing
B110,B — Earthworks,Normal,Trench Backfill — Cable,5,15-Apr-20,21-Apr-20,5,5,No,5-day,Yes,,
B120,B — Earthworks,Normal,Internal Roads — G2 Base,14,27-Feb-20,17-Mar-20,0,0,Yes,5-day,Yes,M09002,
B130,B — Earthworks,Normal,Surface Hardening / Gravel Wearing Course,10,18-Mar-20,31-Mar-20,2,2,No,5-day,Yes,M09001,
B140,B — Earthworks,Normal,Stormwater Channels and Sumps,14,27-Feb-20,17-Mar-20,3,3,No,5-day,Yes,,
C010,C — Foundations,Normal,Blinding Concrete — Well Pads (8 pads),10,27-Feb-20,11-Mar-20,0,0,Yes,5-day,Yes,M01005,FS+3 after B070; 3-day inspection lag
C020,C — Foundations,Normal,Rebar — Well Pad Foundations,8,13-Mar-20,24-Mar-20,0,0,Yes,5-day,Yes,M02003,FS+1 after blinding
C030,C — Foundations,Normal,Formwork — Well Pad Foundations,6,25-Mar-20,01-Apr-20,0,0,Yes,5-day,Yes,M04001,
C040,C — Foundations,Normal,Pour Concrete — Well Pad Foundations,10,02-Apr-20,15-Apr-20,0,0,Yes,5-day,Yes,M01003,
C050,C — Foundations,Normal,Strike Formwork and Cure (14-day cure),7,06-May-20,14-May-20,0,0,Yes,5-day,Yes,,FS+14 after pour for curing
C060,C — Foundations,Normal,Anchor Bolt Installation,5,02-Apr-20,08-Apr-20,2,0,No,5-day,Yes,M03002,Concurrent with pour
C070,C — Foundations,Normal,Grout Column Base Plates,3,15-May-20,19-May-20,0,0,Yes,5-day,Yes,M01002,After formwork strike
C080,C — Foundations,Normal,Pipe Support Foundations,7,27-Feb-20,06-Mar-20,5,5,No,5-day,Yes,M01003,Parallel to main foundations
C090,C — Foundations,Normal,Valve Pit Structures,10,27-Feb-20,11-Mar-20,3,3,No,5-day,Yes,M01003,
C100,C — Foundations,Milestone,Civil Foundations Complete,0,19-May-20,19-May-20,0,0,Yes,5-day,No,,
